route_id,bus_id,route_name,departure_time
0,0,RED_Rithala to Dilshad Garden,328.47
1,1,RED_Rithala to Dilshad Garden,335.63
10,10,RED_Rithala to Dilshad Garden,400.13
100,100,RED_Rithala to Dilshad Garden,1008.4
1000,1000,YELLOW_Huda City Centre to Samaypur Badli,1106.68
10000,10000,RED_Shaheed Sthal (New Bus Adda) to Rithala,961.97
10001,10001,RED_Shaheed Sthal (New Bus Adda) to Rithala,970.17
10002,10002,RED_Shaheed Sthal (New Bus Adda) to Rithala,978.37
10003,10003,RED_Shaheed Sthal (New Bus Adda) to Rithala,986.57
10004,10004,RED_Shaheed Sthal (New Bus Adda) to Rithala,994.77
10005,10005,RED_Shaheed Sthal (New Bus Adda) to Rithala,1002.97
10006,10006,RED_Shaheed Sthal (New Bus Adda) to Rithala,1011.17
10007,10007,RED_Shaheed Sthal (New Bus Adda) to Rithala,1019.37
10008,10008,RED_Shaheed Sthal (New Bus Adda) to Rithala,1027.57
10009,10009,RED_Shaheed Sthal (New Bus Adda) to Rithala,1034.57
1001,1001,YELLOW_Huda City Centre to Samaypur Badli,1111.62
10010,10010,RED_Shaheed Sthal (New Bus Adda) to Rithala,1041.57
10011,10011,RED_Shaheed Sthal (New Bus Adda) to Rithala,1048.57
10012,10012,RED_Shaheed Sthal (New Bus Adda) to Rithala,1055.57
10013,10013,RED_Shaheed Sthal (New Bus Adda) to Rithala,1062.57
10014,10014,RED_Shaheed Sthal (New Bus Adda) to Rithala,1069.57
10015,10015,RED_Shaheed Sthal (New Bus Adda) to Rithala,1076.57
10016,10016,RED_Shaheed Sthal (New Bus Adda) to Rithala,1083.57
10017,10017,RED_Shaheed Sthal (New Bus Adda) to Rithala,1090.57
10018,10018,RED_Shaheed Sthal (New Bus Adda) to Rithala,1097.57
10019,10019,RED_Shaheed Sthal (New Bus Adda) to Rithala,1104.57
1002,1002,YELLOW_Huda City Centre to Samaypur Badli,1116.55
10020,10020,RED_Shaheed Sthal (New Bus Adda) to Rithala,1111.57
10021,10021,RED_Shaheed Sthal (New Bus Adda) to Rithala,1118.57
10022,10022,RED_Shaheed Sthal (New Bus Adda) to Rithala,1125.57
10023,10023,RED_Shaheed Sthal (New Bus Adda) to Rithala,1132.57
10024,10024,RED_Shaheed Sthal (New Bus Adda) to Rithala,1139.57
10025,10025,RED_Shaheed Sthal (New Bus Adda) to Rithala,1146.57
10026,10026,RED_Shaheed Sthal (New Bus Adda) to Rithala,1153.57
10027,10027,RED_Shaheed Sthal (New Bus Adda) to Rithala,1160.57
10028,10028,RED_Shaheed Sthal (New Bus Adda) to Rithala,1167.57
10029,10029,RED_Shaheed Sthal (New Bus Adda) to Rithala,1174.57
1003,1003,YELLOW_Huda City Centre to Samaypur Badli,1121.48
10030,10030,RED_Shaheed Sthal (New Bus Adda) to Rithala,1181.57
10031,10031,RED_Shaheed Sthal (New Bus Adda) to Rithala,1188.57
10032,10032,RED_Shaheed Sthal (New Bus Adda) to Rithala,1195.57
10033,10033,RED_Shaheed Sthal (New Bus Adda) to Rithala,1202.57
10034,10034,RED_Shaheed Sthal (New Bus Adda) to Rithala,1209.57
10035,10035,RED_Shaheed Sthal (New Bus Adda) to Rithala,1216.57
10036,10036,RED_Shaheed Sthal (New Bus Adda) to Rithala,1223.57
10037,10037,RED_Shaheed Sthal (New Bus Adda) to Rithala,1230.57
10038,10038,RED_Shaheed Sthal (New Bus Adda) to Rithala,1237.57
10039,10039,RED_Shaheed Sthal (New Bus Adda) to Rithala,1244.57
1004,1004,YELLOW_Huda City Centre to Samaypur Badli,1126.42
10040,10040,RED_Shaheed Sthal (New Bus Adda) to Rithala,1251.57
10041,10041,RED_Shaheed Sthal (New Bus Adda) to Rithala,1258.57
10042,10042,RED_Shaheed Sthal (New Bus Adda) to Rithala,1265.57
10043,10043,RED_Shaheed Sthal (New Bus Adda) to Rithala,1273.77
10044,10044,RED_Shaheed Sthal (New Bus Adda) to Rithala,1281.97
10045,10045,RED_Shaheed Sthal (New Bus Adda) to Rithala,1290.17
10046,10046,RED_Shaheed Sthal (New Bus Adda) to Rithala,1298.37
10047,10047,RED_Shaheed Sthal (New Bus Adda) to Rithala,1306.57
10048,10048,RED_Shaheed Sthal (New Bus Adda) to Rithala,1314.77
10049,10049,RED_Shaheed Sthal (New Bus Adda) to Rithala,1322.97
1005,1005,YELLOW_Huda City Centre to Samaypur Badli,1131.35
10050,10050,RED_Shaheed Sthal (New Bus Adda) to Rithala,1331.17
10051,10051,RED_Shaheed Sthal (New Bus Adda) to Rithala,1339.37
10052,10052,RED_Shaheed Sthal (New Bus Adda) to Rithala,1347.57
10053,10053,RED_Shaheed Sthal (New Bus Adda) to Rithala,1355.77
10054,10054,RED_Shaheed Sthal (New Bus Adda) to Rithala,1363.97
10055,10055,RED_Shaheed Sthal (New Bus Adda) to Rithala,1372.17
10056,10056,RED_Shaheed Sthal (New Bus Adda) to Rithala,1380.37
10057,10057,RED_Shaheed Sthal (New Bus Adda) to Rithala,1388.57
10058,10058,RED_Shaheed Sthal (New Bus Adda) to Rithala,1396.77
1006,1006,YELLOW_Huda City Centre to Samaypur Badli,1136.28
1007,1007,YELLOW_Huda City Centre to Samaypur Badli,1141.22
1008,1008,YELLOW_Huda City Centre to Samaypur Badli,1146.15
1009,1009,YELLOW_Huda City Centre to Samaypur Badli,1151.08
101,101,RED_Rithala to Dilshad Garden,1015.57
